STATION;STATION_NAME;ELEVATION;LATITUDE;LONGITUDE;DATE;PRCP;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMAX;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMIN;Measurement Flag;Quality Flag;Source Flag;Time of Observation
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030411;0; ; ;s;9999;146; ; ;s;9999;61; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030412;0; ; ;s;9999;188; ; ;s;9999;93; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030413;0; ; ;s;9999;225; ; ;s;9999;58; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030414;0; ; ;s;9999;259; ; ;s;9999;89; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030415;0; ; ;s;9999;258; ; ;s;9999;126; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030416;0; ; ;s;9999;250; ; ;s;9999;157; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030417;0;T; ;s;9999;211; ; ;s;9999;151; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030418;2; ; ;s;9999;163; ; ;s;9999;79; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030419;0; ; ;s;9999;182; ; ;s;9999;64; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030420;1; ; ;s;9999;175; ; ;s;9999;78; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030421;0; ; ;s;9999;188; ; ;s;9999;52; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030422;1; ; ;s;9999;157; ; ;s;9999;105; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030423;0; ; ;s;9999;226; ; ;s;9999;94; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030424;0; ; ;s;9999;268; ; ;s;9999;108; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030425;0; ; ;s;9999;263; ; ;s;9999;106; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030426;0; ; ;s;9999;282; ; ;s;9999;123; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030427;0; ; ;s;9999;298; ; ;s;9999;133; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030428;2; ; ;s;9999;244; ; ;s;9999;161; ; ;s;9999
