AquaCrop 4.0 (June 2012) - Output created on (date) : 01/05/2014   at (time) : 10:16:34
Electrical conductivity of the saturated soil-paste extract (dS/m) at various depths (at center of compartments)

                 at depth (m):      0.05        0.15        0.25        0.35        0.45        0.55        0.65        0.75        0.85        0.95
   Day Month  Year   DAP Stage      ECe1        ECe2        ECe3        ECe4        ECe5        ECe6        ECe7        ECe8        ECe9       ECe10       ECe11       ECe12
    13     3  1997   100    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    14     3  1997   101    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    15     3  1997   102    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    16     3  1997   103    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    17     3  1997   104    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    18     3  1997   105    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    19     3  1997   106    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    20     3  1997   107    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    21     3  1997   108    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0
    22     3  1997   109    2        0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0

Legend

DAP          : Days after planting
Stage        : 0: before/after planting
Stage        : 1: emergence or transplant recovery
Stage        : 2: vegetative stage
Stage        : 3: flowering
Stage        : 4: yield formation and ripening
